Airline,IOSA_1,IOSA_2,EU,Fatality,FAA,ICAO_1,ICAO_2,Rating
Cubana De Aviacion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Czech Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Daallo Airlines,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Danish Air Transport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Delta Air Lines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Donavia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Dragonair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Drukair Royal Bhutan,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Eastar Jet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Eastern Airways,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Easyfly,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
easyJet,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Edelweiss,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
EgyptAir and EgyptAir Express,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
EL AL Israel Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Emirates,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Ethiopian Airways,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Etihad Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Etihad Regional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
EVA Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Fastjet,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Felix Airways,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Fiji Airways,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Finnair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Firefly,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
First Air,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
fly540,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
Flybe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Flybe Nordic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Flydubai,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
flyNas,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Freebird,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Frontier Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Garuda Indonesia,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Georgian Airways,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Germania,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Germanwings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Go Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
GOL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Golden Myanmar Airlines,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Gulf Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Hainan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hawaiian Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Helvetic Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hong Kong Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
HOP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hunnu Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Iberia and Iberia Express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Icelandair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
IndiGo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Insel Air,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
Interair,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Intercaribbean,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Interjet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
InterSky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Iran Air and Iran Air Tour,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Iran Aseman Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Island Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Israir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Japan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jazeera Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jeju Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jet Airways,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Jet Konnect,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Jet2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Jetairfly,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
JetBlue Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jetstar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jetstar Asia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jetstar Japan,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Jetstar Pacific,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Jin Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Juneyao Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
KalStar Aviation,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Kam Air,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Kenya Airways,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Kish Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
KLM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
KLM Cityhopper,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Korean Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Kulula,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Kunming Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Kuwait Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
La Costena,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
LAM,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
LAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Lao Airlines,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Laser Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
LC Peru,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
LIAT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Libyan Airlines,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Linea Turistica Aerotuy,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Lion Air,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
LOT Polish Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Lucky Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Lufthansa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Luxair,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Mahan Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Malaysia Airlines,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Maldivian,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Malindo Air,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Malmo Aviation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Mandarin Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Mango Airlines,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
MASwings,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Mauritania Airlines,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
Maya Island Air,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0
Mega Maldives,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
MIAT Mongolian Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Middle East Airlines (MEA),1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Mihin Lanka,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Monarch Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Montenegro Airlines,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Myanmar Airways International (MAI),1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Nature Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Nauru Airlines,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Nepal Airlines,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Network Aviation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
NIKI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
NOK Air,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
Nordavia Regional Airlines,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Norwegian,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Nouvelair,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Novoair,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Olympic Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Oman Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Omni Air International,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Onur Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
OpenSkies,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Orenair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Orient Thai Airlines,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
Pakistan International Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
PAL Express,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Passaredo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Peach Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Pegasus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Penair,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Perimeter Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Peruvian Airlines,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Philippine Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Polynesian Airlines,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Porter Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Portugalia Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Precision Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Qantas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
QantasLink,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Qatar Airways,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Rex Australia,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Rossiya,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Royal Air Maroc,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Royal Brunei,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Royal Jordanian,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Royal Wings,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Rutaca Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Rwand Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Ryanair,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
S7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
SA Express,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Safi Airways,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
Sansa Regional,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
SAS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
SATA Air Acores,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
SATENA,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
